Target,MAE,RMSE,R2,MAPE(%),Max Error,PAS,DTCS
SOH,2.833,3.504,0.9532,4.5893,9.8763,0.9657,0.747
RUL,16.9459,19.2849,0.9075,9.554656351971974e+16,54.2373,0.9657,0.747
